context,question,answers
??????? ??? ???? ??? ???????? ????? ??? ???? ?? ??? ????? ??? ??? ????? ??? ???? ???? ??? ???-???? ???? ???? ?????? ??? ???? ???? ??????? ??? ????????? ??? ???? ???? ?????? ???,??????? ?? ???? ??? ?? ???? ?? ???,??????? ??? ???? ??? ???????? ????? ??? ???? ?? ??? ????? ??? ??? ????? ??? ???? ???? ??? ???-???? ???? ???? ?????? ??? ???? ???? ??????? ??? ????????? ??? ???? ???? ?????? ???
??????? ? ?? ??? ??? ???? ?????? ?? ????? ?? ??? ???? ???? ??? ?? ??? ??? ??? ??? ?? ??????? ? ?? ???? ??? ?? ??? ????? ???,??????? ? ?? ??? ??? ????? ???? ????? ?? ??? ???? ???? ????? ???? ?? ???? ???,??????? ? ?? ??? ??? ???? ?????? ?? ????? ?? ??? ???? ???? ??? ?? ??? ??? ??? ??? ?? ??????? ? ?? ???? ??? ?? ??? ????? ???
???????? ???? ?? ???? ???? ???? ?????? ?? ??? ???? ???? ?????? ???????? ??? ????? ?? ????? ??? ??? ???? ???? ???? ??? ????? ??? ???? ???? ??????,???????? ??? ?? ?????? ?? ???? ?? ??? ?? ????? ???? ?????? ?? ?????? ???,???????? ???? ?? ???? ???? ???? ?????? ?? ??? ???? ???? ?????? ???????? ??? ????? ?? ????? ??? ??? ???? ???? ???? ??? ????? ??? ???? ???? ??????
???-??? ??? ?? ???? ?? ??????? ??? ???-??? ??????? ???? ????? ?????? ??? ?? ??? ?????? ?? ???? ??? ????? ?? ???? ???? ????? ?? ???? ???,???? ???-??? ??? ?? ???? ??? ??????? ??? ???-??? ??????? ???? ????? ?????? ???,???-??? ??? ?? ???? ?? ??????? ??? ???-??? ??????? ???? ????? ?????? ??? ?? ??? ?????? ?? ???? ??? ????? ?? ???? ???? ????? ?? ???? ???
"?????, ?????????, ??? ???? ??????? ?? ????? ???? ??? ?? ???????? ??? ???? ???? ?? ??? ??? ???? ??? ?? ?????? ??? ??? ???? ?? ???? ???",??????? ???? ????? ?????? ?? ???? ??? ???? ?? ?? ?? ??? ?? ??? ???,"?????, ?????????, ??? ???? ??????? ?? ????? ???? ??? ?? ???????? ??? ???? ???? ?? ??? ??? ???? ??? ?? ?????? ??? ??? ???? ?? ???? ???"
"???????? ?? ??? ???? ?????? ?????? ?? ??????? ??, ??? ???? ????? ??, ??? ????? ??? ??????? ??? ?? ?????? ?? ???? ???????? ??? ??????? ?? ?????? ??? ??? ??? ??? ???? ?? ???? ???",???????? ?? ??? ??? ?? ???????? ?? ?????? ?? ??? ?????? ?? ???? ????? ???? ?? ???? ???,"???????? ?? ??? ???? ?????? ?????? ?? ??????? ??, ??? ???? ????? ??, ??? ????? ??? ??????? ??? ?? ?????? ?? ???? ???????? ??? ??????? ?? ?????? ??? ??? ??? ??? ???? ?? ???? ???"
"??????? ?? ????? ???? ??????? ?? 2 ??? ??????? ?? ??? ?????, ??? ?? ??? ??? ???? ?? ????? ?? ???? ????? ??? ????? ?? ??? ??? ??? ??? ?? ??????? ?? ??? ?????? ????? ?? ???? ???",??????? ???? ??????? ?? 2 ??? ??????? ?? ??? ??? ?? ???? ????? ?? ??? ???? ?????? ????? ??? ???? ?? ???? ???,"??????? ?? ????? ???? ??????? ?? 2 ??? ??????? ?? ??? ?????, ??? ?? ??? ??? ???? ?? ????? ?? ???? ????? ??? ????? ?? ??? ??? ??? ??? ?? ??????? ?? ??? ?????? ????? ?? ???? ???"
??? ???? ???? ???? ????? ?? ????? ??? ????????? ?? ?????? ??? ???? ?? ????? ??? ???? ???? ?? ???? ??? ?????? ?? ????? ??? ????? ??? ???? ?????? ?? ??? ?? ???? ??? ?? ? ????,??? ???? ???? ?????? ?? ???? ?? ??????? ?????? ?? ????? ???? ?? ???? ?? ??? ?????? ??? ????? ????? ?????? ???,??? ???? ???? ???? ????? ?? ????? ??? ????????? ?? ?????? ??? ???? ?? ????? ??? ???? ???? ?? ???? ??? ?????? ?? ????? ??? ????? ??? ???? ?????? ?? ??? ?? ???? ??? ?? ? ????
"????? ???? ???? ??????? ? ??? ?? ??????? ??????? ?????? ??? ?? ???? ??? ??? ??? ?????? ???? ?????? ??????? ?????? ??, ??? ?? ???? ?????? ?? ????",????? ???? ???? ??????? ? ??? ?? ??????? ?????? ?? ???? ?? ???,"????? ???? ???? ??????? ? ??? ?? ??????? ??????? ?????? ??? ?? ???? ??? ??? ??? ?????? ???? ?????? ??????? ?????? ??, ??? ?? ???? ?????? ?? ????"
"??????? ?? ???? ???? ???? ??? ??? ????? ??? ????? ???? ???? ??? ???? ???? ????????? ??? ???????, ???????? ??? ??? ?????? ????? ?? ?????? ??? ????? ??? ?????? ???? ?????? ???",??????? ?? ???? ??? ????? ??? ?? ????? ?? ???? ?? ???,"??????? ?? ???? ???? ???? ??? ??? ????? ??? ????? ???? ???? ??? ???? ???? ????????? ??? ???????, ???????? ??? ??? ?????? ????? ?? ?????? ??? ????? ??? ?????? ???? ?????? ???"
???? ???? ???????? ??? ???? ?? ????????? ??? ???????? ?????? ????? ???? ????? ??? ??? ????? ??? ???? ?? ????? ??? ???????? ??? ???? ???? ?? ???? ???,???? ???? ???????? ??? ???? ?? ?? ???? ?????? ???,???? ???? ???????? ??? ???? ?? ????????? ??? ???????? ?????? ????? ???? ????? ??? ??? ????? ??? ???? ?? ????? ??? ???????? ??? ???? ???? ?? ???? ???
????????? ?????? ??? ???? ??? ?????? ?????? ??? ??? ?????? ???? ????? ?????? ??? ?? ?????? ????? ?????? ?? ???? ??? ???? ???? ????? ??????? ???,????????? ?????? ??? ???? ??? ?? ????? ???? ?? ?????? ?? ???? ????? ?????? ???,????????? ?????? ??? ???? ??? ?????? ?????? ??? ??? ?????? ???? ????? ?????? ??? ?? ?????? ????? ?????? ?? ???? ??? ???? ???? ????? ??????? ???
???? ???? ???? ??? ???? ??? ?? ??????? ???? ?? ????? ??? ?? ??????? ???? ????? ??? ?? ??? ???? ?? ???? ??? ????? ??? ???? ???? ???? ??? ????? ???,???? ???? ???? ??? ????? ???? ???? ?? ???? ???,???? ???? ???? ??? ???? ??? ?? ??????? ???? ?? ????? ??? ?? ??????? ???? ????? ??? ?? ??? ???? ?? ???? ??? ????? ??? ???? ???? ???? ??? ????? ???
??????? ??? ?????? ??? ????? ?? ??? ?????? ??? ????? ????? ?? ?????? ????? ???? ?????? ??? ???? ??? ?????? ?? ???? ???? ??????,??????? ?? ???? ???? ???? ?? ????? ????? ??? ?????? ???? ?????? ???,??????? ??? ?????? ??? ????? ?? ??? ?????? ??? ????? ????? ?? ?????? ????? ???? ?????? ??? ???? ??? ?????? ?? ???? ???? ??????
???? ???? ?????? ??????? ???? ?? ?? ???? ???? ??? ????? ????? ??? ??? ?????? ?? ???? ????? ?????? ???,???? ???? ??????? ?? ??????????? ???? ?? ????? ???? ????? ?????? ???,???? ???? ?????? ??????? ???? ?? ?? ???? ???? ??? ????? ????? ??? ??? ?????? ?? ???? ????? ?????? ???
???? ??? ????? ??? ????? ?? ?????? ??? ??????? ??? ?????? ????? ?? ????? ???? ?????? ???,???? ??? ????? ??? ????? ?? ????? ??? ???? ?????? ???,???? ??? ????? ??? ????? ?? ?????? ??? ??????? ??? ?????? ????? ?? ????? ???? ?????? ???
??????? ?? ???? ?? ?? ??????? ?? ???? ????????? ??? ?? ??? ?????? ?? ??? ?? ???? ?? ????? ???,??????? ?? ???? ?? ????? ??????? ?? ????? ????????? ???,??????? ?? ???? ?? ?? ??????? ?? ???? ????????? ??? ?? ??? ?????? ?? ??? ?? ???? ?? ????? ???
????? ???? ????? ?? ?????? ?? ?????? ???? ?????????? ?? ????? ??? ??? ??? ????? ??? ??????? ???? ?? ???? ???,????? ?????? ?? ??????? ?? ????? ???? ???? ?? ???? ???,????? ???? ????? ?? ?????? ?? ?????? ???? ?????????? ?? ????? ??? ??? ??? ????? ??? ??????? ???? ?? ???? ???
??????? ?? ???? ???? ????? ?? ?????? ??? ??????? ????? ?? ???? ???? '?? ??????? ?? ??? ???,??????? ?? ???? ??? ?????? ?? ?? ???? ???? ?????? ???,??????? ?? ???? ???? ????? ?? ?????? ??? ??????? ????? ?? ???? ???? '?? ??????? ?? ??? ???
????? ???? ???????? ?? ??? ?????? ?? ??? ???? ?????? ?? ???? ????? ?? ???? ???,????? ???? ???????? ?? ??? ??? ?? ????????? ? ?????? ???,????? ???? ???????? ?? ??? ?????? ?? ??? ???? ?????? ?? ???? ????? ?? ???? ???
???? ???? ??? ?? ???? ?????? ???? ???????? ?????? ????? ?? ??? ??????? ?? ???? ???? ????? ????? ???,??????? ?? ???? ???? ????? ?? ???? ???? ???????? ?? ????? ?????? ?????? ???? ?? ???? ???,???? ???? ??? ?? ???? ?????? ???? ???????? ?????? ????? ?? ??? ??????? ?? ???? ???? ????? ????? ???
???????? ???? ?????? ?? ???? ??? ??? ??? ???? ???? ???? ??? ?????? ??? ???? ?????? ???? ???? ?????? ???,?????? ?? ???? ?? ???? ??? ?????? ?? ?? ?????? ?? ???? ????? ?????? ???,???????? ???? ?????? ?? ???? ??? ??? ??? ???? ???? ???? ??? ?????? ??? ???? ?????? ???? ???? ?????? ???
?????? ??? ?????????? ?? ?????? ?? ??? ?????? ??? ???? ???? ????????? ???? ?? ???? ???,?????? ???? ?????????? ?? ??? ??? ?? ????????? ???? ?? ?????? ???,?????? ??? ?????????? ?? ?????? ?? ??? ?????? ??? ???? ???? ????????? ???? ?? ???? ???
??????? ?? ????? ???? ??? ?????? ??? ??? ????? ?? ???? ???? ???? ????? ?? ??? ?????? ?? ???? ?? ???? ?????? ???,??????? ?? ???? ??? ???? ??? ????? ??? ?? ????? ???? ?? ?????? ?? ?????? ???? ?????? ???,??????? ?? ????? ???? ??? ?????? ??? ??? ????? ?? ???? ???? ???? ????? ?? ??? ?????? ?? ???? ?? ???? ?????? ???
?????? ??? ??? ??????? ???? ????? ??? ??? ?????? ?? ???? ????? ??? ????? ?? ??? ???????? ??? ??????? ???,?????? ?? ???? ??? ???? ??? ?????? ?? ????? ????? ????? ?????? ???,?????? ??? ??? ??????? ???? ????? ??? ??? ?????? ?? ???? ????? ??? ????? ?? ??? ???????? ??? ??????? ???
??????? ????? ??? ??????? ??? ?????? ??? ????? ??? ????? ???? ?????? ????? ?? ??? ?? ???? ????? ???? ???,?????? ??? ????? ??? ????? ??? ???? ????? ??? ?? ??????? ?????? ?? ??? ???,??????? ????? ??? ??????? ??? ?????? ??? ????? ??? ????? ???? ?????? ????? ?? ??? ?? ???? ????? ???? ???
??????? ?? ???? ?? ???? ???? ?? ?????? ??? ????? ?? ????? ???? ????? ???,??????? ?? ???? ?? ???? ??? ????? ?? ????? ????? ????? ???? ?? ???? ???,??????? ?? ???? ?? ???? ???? ?? ?????? ??? ????? ?? ????? ???? ????? ???
?????? ??? ?? ??? ??????? ?????? ??? ?? ????? ??? ??? ?????? ?? ??? ?????? ?? ???? ???? ?????? ???,?????? ??? ????? ??? ????? ?? ??????? ?? ????? ????? ???? ?? ???? ???,?????? ??? ?? ??? ??????? ?????? ??? ?? ????? ??? ??? ?????? ?? ??? ?????? ?? ???? ???? ?????? ???
?????? ?? ???? ??? ???? ??? ??? ?????? ?????? ?? ??? ?????? ???? ???? ??? ???? ?????? ??? ????? ?? ??? ???,?????? ?? ???? ??? ???? ??? ??? ?????? ?? ???? ?????? ?? ??? ???,?????? ?? ???? ??? ???? ??? ??? ?????? ?????? ?? ??? ?????? ???? ???? ??? ???? ?????? ??? ????? ?? ??? ???
?????????? ?? ??? ?????? ??? ??? ??? ???? ???? ???? ???? ???? ????? ??? ?????? ?? ???? ?????? ?????? ???,?????????? ?? ??? ?????? ??? ??? ?????? ?? ???? ???? ????? ????? ????? ???,?????????? ?? ??? ?????? ??? ??? ??? ???? ???? ???? ???? ???? ????? ??? ?????? ?? ???? ?????? ?????? ???
???? ?? ???? ?? ?? ?????? ??? ???? ????? ??? ??????? ???? ?? ?????? ????? ???,???? ?? ???? ?? ?? ??? ?????? ?? ????? ??? ???? ?? ??? ????? ???,???? ?? ???? ?? ?? ?????? ??? ???? ????? ??? ??????? ???? ?? ?????? ????? ???
???????? ???? ?????? ?? ?????? ?? ???? ?????? ??? ??? ????? ?? ????? ???,?????? ?? ?????? ????? ?? ?? ???? ?????? ???,???????? ???? ?????? ?? ?????? ?? ???? ?????? ??? ??? ????? ?? ????? ???
??????? ??? ?????? ????? ??? ??? ????? ?? ???? ??? ?????? ???? ???? ?? ????? ???,??????? ?? ???? ??? ?????? ??? ?????? ?? ?? ????? ????? ?????? ???,??????? ??? ?????? ????? ??? ??? ????? ?? ???? ??? ?????? ???? ???? ?? ????? ???
???????? ???? ??????? ?? ????? ??? ??? ??????? ?? ?? ?????? ???? ?? ???? ???,???????? ???? ??????? ?? ????? ??? ?? ??? ?????? ?? ???? ???,???????? ???? ??????? ?? ????? ??? ??? ??????? ?? ?? ?????? ???? ?? ???? ???
??????? ??? ?? ????? ?????????? ??? ??? ?? ????? ?????? ??? ??? ?????? ???,??????? ??? ????? ?????? ??? ????? ?? ????? ???? ?? ????? ???? ?? ???? ???,??????? ??? ?? ????? ?????????? ??? ??? ?? ????? ?????? ??? ??? ?????? ???
??????? ?????? ?? ?????? ?? ?????? ?? ?? ?????? ??? ????? ??? ??? ????? ?????,??????? ?????? ?? ?????? ?? ?? ?????? ?????? ???? ?????? ???,??????? ?????? ?? ?????? ?? ?????? ?? ?? ?????? ??? ????? ??? ??? ????? ?????
??????? ?? ?????? ??? ???????? ???? ??????? ??? ??? ???? ?? ??????? ????? ???? ??? ????? ???,??????? ?? ????? ??? ???? ?? ??????? ????? ?????? ?? ???? ???,??????? ?? ?????? ??? ???????? ???? ??????? ??? ??? ???? ?? ??????? ????? ???? ??? ????? ???
??????? ??? ?????? ????? ??? ??? ?????? ?? ??????? ???? ???? ????? ????? ?? ??? ?? ???? ????? ??? ???? ??????? ???,??????? ?? ??????? ???? ??? ?????? ?? ?? ????? ?????? ???? ?????? ???,??????? ??? ?????? ????? ??? ??? ?????? ?? ??????? ???? ???? ????? ????? ?? ??? ?? ???? ????? ??? ???? ??????? ???
??????? ???? ?????? ?? ?????? ??? ?????? ?? ???? ?? ???? ????????? ???,?????? ?? ?????? ??? ????? ??? ?? ?? ??? ???? ?? ??? ???,??????? ???? ?????? ?? ?????? ??? ?????? ?? ???? ?? ???? ????????? ???
??????? ??? ????? ?????? ??? ????? ?? ??????? ???? ???? ?????????? ?? ?????? ???? ?? ??????? ???? ????? ???,??????? ??? ????? ?????? ??? ????? ?? ?? ???? ???? ?????? ???,??????? ??? ????? ?????? ??? ????? ?? ??????? ???? ???? ?????????? ?? ?????? ???? ?? ??????? ???? ????? ???
??????? ?????? ?? ????? ??? ?????? ?? ???????? ???? ???? ????? ?? ????? ??? ?? ??????? ???? ????? ???,?????? ?? ????? ??? ?????? ?? ?? ????? ??? ?? ??????? ???? ????? ???,??????? ?????? ?? ????? ??? ?????? ?? ???????? ???? ???? ????? ?? ????? ??? ?? ??????? ???? ????? ???
?????????? ?? ??? ?????? ??? ?????? ???? ??????? ??? ???? ????? ?? ??? ?? ???????? ??? ??? ?????? ???,?????????? ?? ??? ?????? ??? ??? ?????? ?? ???? ???? ????? ????? ????? ???,?????????? ?? ??? ?????? ??? ?????? ???? ??????? ??? ???? ????? ?? ??? ?? ???????? ??? ??? ?????? ???
?????? ??? ???????? ??? ????? ?? ??? ????? ??? ??????? ??? ????? ?? ?????? ???,?????? ?? ???? ??? ????? ?? ?? ???? ??? ????? ?? ??? ???,?????? ??? ???????? ??? ????? ?? ??? ????? ??? ??????? ??? ????? ?? ?????? ???
