context,question,answers
"??????? ?? ????? ??? ?????? ?? ????? ?? ??????? ?????? ??, ??? ??? ??? ????? ?? ????? ???",??????? ?? ????? ??? ????? ?? ??????? ????? ??????? ???,"??????? ?? ????? ??? ?????? ?? ????? ?? ??????? ?????? ??, ??? ??? ??? ????? ?? ????? ???"
??????? ?? ???? ??? ?????? ??? ????? ??? ?? ??? ???? ?? ???? ??? ??? ????? ?????,??????? ?? ???? ??? ?????? ?????? ?? ?? ???? ?????? ???,??????? ?? ???? ??? ?????? ??? ????? ??? ?? ??? ???? ?? ???? ??? ??? ????? ?????
?????? ?? ???? ???? ????????? ??? ?? ????? ??? ???? ?? ?????? ???? ???,?????? ?? ?????? ????? ?? ?? ??? ?? ????? ???? ?? ???? ???,?????? ?? ???? ???? ????????? ??? ?? ????? ??? ???? ?? ?????? ???? ???
??????? ??? ??? ???? ???? ???? ????? ?????? ?? ???? ?? ?? ???? ????? ???,??????? ?? ???? ?? ??? ???? ???? ????? ???? ????? ?? ???? ???,??????? ??? ??? ???? ???? ???? ????? ?????? ?? ???? ?? ?? ???? ????? ???
???????? ???? ??? ????? ??? ??? ???? ?? ??????? ??? ????? ????? ???? ????? ????? ???,???????? ???? ???? ?? ??????? ??? ????? ?????? ?? ?? ????? ?? ????? ???? ?? ???? ???,???????? ???? ??? ????? ??? ??? ???? ?? ??????? ??? ????? ????? ???? ????? ????? ???
?????? ??? ???? ??? ????? ???? ??????? ?? ?????? ??????? ??? ??? ?????? ?? ???? ?????? ???,?????? ?? ???? ?????? ?? ???? ??? ????? ???? ?? ????? ???? ???? ?????? ???,?????? ??? ???? ??? ????? ???? ??????? ?? ?????? ??????? ??? ??? ?????? ?? ???? ?????? ???
"??????? ?? ????? ??? ????? ?? ????? ????? ???? ??, ?? ?? ???? ?? ?????? ???? ????? ????? ???? ???",??????? ?? ????? ??? ????? ?? ????? ????? ????? ???? ?? ???? ???,"??????? ?? ????? ??? ????? ?? ????? ????? ???? ??, ?? ?? ???? ?? ?????? ???? ????? ????? ???? ???"
???????? ???? ???? ???? ??????? ?? ????? ??? ????? ?? ??????? ??? ?????? ???? ???,???????? ???? ????? ?? ??????? ??? ?????? ????? ?? ?? ????? ????? ?????? ???,???????? ???? ???? ???? ??????? ?? ????? ??? ????? ?? ??????? ??? ?????? ???? ???
??????? ????? ?? ??? ???? ?? ??? ??? ??? ???? ???? ?? ?????? ???,??????? ????? ??? ????? ??? ?? ????? ????? ?? ??????? ???? ????? ???,??????? ????? ?? ??? ???? ?? ??? ??? ??? ???? ???? ?? ?????? ???
???? ?????? ???????? ??? ??? ?? ???-??? ???? ?? ????? ?? ????? ???? ?????? ???,???????? ??? ??? ?? ????? ????? ?? ????? ???? ?? ???? ???,???? ?????? ???????? ??? ??? ?? ???-??? ???? ?? ????? ?? ????? ???? ?????? ???
??????? ?? ????? ???? ????????? ??? ????? ??? ??? ?????? ?? ???? ????? ????? ???,??????? ?? ???? ?????? ?? ?????? ?? ????? ???? ????? ??? ????? ??? ?? ??????? ???? ????? ???,??????? ?? ????? ???? ????????? ??? ????? ??? ??? ?????? ?? ???? ????? ????? ???
??????? ????? ?? ????? ?? ????? ?? ???????? ??? ????? ?? ????? ???? ????? ???,??????? ????? ?? ???? ?? ????? ?? ????? ??? ????? ?? ????? ????? ???? ?? ???? ???,??????? ????? ?? ????? ?? ????? ?? ???????? ??? ????? ?? ????? ???? ????? ???
??? ?? ??????? ??? ???? ?? ??????? ??? ????? ??? ??? ????? ???? ????? ?? ???? ???,????? ???? ????? ????? ?? ??? ?? ??????? ??? ???? ?? ??????? ???? ?? ??? ?? ??? ???,??? ?? ??????? ??? ???? ?? ??????? ??? ????? ??? ??? ????? ???? ????? ?? ???? ???
????? ?? pH ??? ??? ???? ???? ??? ????? ?? ??????? ???? ????? ? ???? ???,????? ?? pH ??? ??? ???? ???? ??? ????? ?? ??????? ????? ?????? ?? ???? ???,????? ?? pH ??? ??? ???? ???? ??? ????? ?? ??????? ???? ????? ? ???? ???
??????? ??? ??? ??? ????? ?? ?????? ?? ????? ??? ???? ?????? ???????? ??? ???????? ????? ?? ?????? ???,??????? ??? ??? ??? ????? ?? ?????? ?? ????? ??? ????? ????? ????? ?? ???? ???,??????? ??? ??? ??? ????? ?? ?????? ?? ????? ??? ???? ?????? ???????? ??? ???????? ????? ?? ?????? ???
??? ????? ??? ???? ?? ??????? ??? ??????? ?? ?????? ?? ??????? ?????? ???,??????? ?? ?????? ?? ??????? ??? ?????? ?? ??? ????? ??? ???? ?? ??????? ????? ???? ?? ???? ???,??? ????? ??? ???? ?? ??????? ??? ??????? ?? ?????? ?? ??????? ?????? ???
????? ?? ????? ?? ??? ???? ?? ???? ??? ??? ??? ?? ????? ?????? ???,????? ?? ????? ?? ???? ??? ??? ??? ?? ???? ?? ?????? ???? ???? ??????? ???????? ???,????? ?? ????? ?? ??? ???? ?? ???? ??? ??? ??? ?? ????? ?????? ???
???? ???? ??? ??????? ??? ??? ??????? ???? ??? ?? ????? ??? ?? ???? ???,???? ???? ??? ??????? ???? ??? ?? ????? ??? ??? ?? ??? ????? ???,???? ???? ??? ??????? ??? ??? ??????? ???? ??? ?? ????? ??? ?? ???? ???
????? ?? ????? ??? ??? ?????? ???? ??? ????? ?? ??????? ????? ????? ???,????? ?? ??????? ??? ?????? ?? ????? ?? ????? ????? ???? ?? ???? ???,????? ?? ????? ??? ??? ?????? ???? ??? ????? ?? ??????? ????? ????? ???
??????? ????? ?? ?????? ??????? ??? ??????? ?????? ???,??????? ????? ?? ????? ?? ?????? ??????? ??? ????? ??????? ???? ?? ???? ???,??????? ????? ?? ?????? ??????? ??? ??????? ?????? ???
??? ??? ??? ???? ?? ????? ??? ????? ?? ??????? ???? ????? ? ???? ???,????? ?? ??????? ??? ????? ?? ??? ??? ???? ?? ????? ?? ?? ????? ???,??? ??? ??? ???? ?? ????? ??? ????? ?? ??????? ???? ????? ? ???? ???
??????? ??????? ?? ??? ????? ??? ???? ?? ??????? ?????? ???,??????? ?? ???? ???? ????? ????? ?? ????? ??? ???? ?? ??????? ????? ???? ?? ???? ???,??????? ??????? ?? ??? ????? ??? ???? ?? ??????? ?????? ???
????? ?? ????? ?? ????????? ?? ??? ????? ??? ???????? ??? ???? ????? ???,????? ??? ???????? ??? ????? ?? ????????? ?? ????? ????? ???? ?? ???? ???,????? ?? ????? ?? ????????? ?? ??? ????? ??? ???????? ??? ???? ????? ???
????? ?? ??? ?????? ?? ????? ??? ????? ?? ?????? ?????? ?? ???? ???,????? ?? ?????? ?????? ??? ????? ?? ????? ?? ??? ?????? ?? ????? ???? ?? ???? ???,????? ?? ??? ?????? ?? ????? ??? ????? ?? ?????? ?????? ?? ???? ???
????? ?? ???????? ?? ???? ?? ??? ?????? ??? ??????? ?? ??????? ????????? ???,????? ?? ???????? ?? ???? ??? ???? ?? ?? ??????? ????????? ???,????? ?? ???????? ?? ???? ?? ??? ?????? ??? ??????? ?? ??????? ????????? ???
??????? ??????? ??? ???? ??????? ??? ????? ?? ?????? ?? ?????? ??? ??? ?????? ???? ???? ?????? ???,??????? ??? ??? ??? ????? ?? ?????? ?? ?????? ??? ????? ???? ???? ?? ???? ???,??????? ??????? ??? ???? ??????? ??? ????? ?? ?????? ?? ?????? ??? ??? ?????? ???? ???? ?????? ???
???? ???? ????? ???? ??? ??????? ?? ??????? ??? ????? ?? ?????? ????? ???? ???,???? ???? ????? ???? ??? ?? ??? ????? ???,???? ???? ????? ???? ??? ??????? ?? ??????? ??? ????? ?? ?????? ????? ???? ???
??????? ??? ???? ??? ????? ?? ??? ????? ???? ??? ?????? ?? ???? ???? ????? ????? ???,??????? ?? ???? ??? ?????? ?? ???? ??? ????? ?? ????? ????? ???????? ???? ?? ???? ???,??????? ??? ???? ??? ????? ?? ??? ????? ???? ??? ?????? ?? ???? ???? ????? ????? ???
????? ??????? ??? ??????? ??? ????? ????? ?? ????? ???? ???? ???? ?? ???? ???,????? ??????? ?? ???? ?? ??? ?????? ?? ??????? ??? ????? ????? ?? ????? ???? ?? ???? ???,????? ??????? ??? ??????? ??? ????? ????? ?? ????? ???? ???? ???? ?? ???? ???
????? ??? ???? ???? ???? ??????? ??? ??? ??????? ???? ????? ???,????? ??? ???? ?????? ?? ??? ?? ?? ??? ???,????? ??? ???? ???? ???? ??????? ??? ??? ??????? ???? ????? ???
???? ??? ?????? ???? ??????? ?? ???? ?? ???????? ?? ???? ???,??????? ?? ???? ?? ???? ??? ?????? ???? ????? ?????? ?? ???? ???,???? ??? ?????? ???? ??????? ?? ???? ?? ???????? ?? ???? ???
??? ????? ??? ???? ??? ??????? ?? ?????? ?????? ???? ????? ????? ???,??????? ?? ?????? ?????? ????? ?? ????? ??? ???? ?? ??? ????? ????? ???????? ???? ?? ???? ???,??? ????? ??? ???? ??? ??????? ?? ?????? ?????? ???? ????? ????? ???
????????? ?? ??? ????? ??? ????? ?? ??????? ????? ??? ????? ????? ?? ???? ???,????? ?? ??????? ????? ?? ????????? ?? ??? ????? ????? ???? ?? ???? ???,????????? ?? ??? ????? ??? ????? ?? ??????? ????? ??? ????? ????? ?? ???? ???
????? ?? ??????? ?? ???? ??????? ??? ???? ?? ?????? ?????? ???? ?? ???? ???,???? ?? ?????? ?????? ????? ?? ????? ?? ??????? ?? ??????? ????? ????? ?? ???? ???,????? ?? ??????? ?? ???? ??????? ??? ???? ?? ?????? ?????? ???? ?? ???? ???
??????? ??? ???? ??? ???? ?? ??? ???? ??? ??? ?????? ?? ???-???? ?????? ???? ????? ????? ???,??????? ?? ???-???? ?????? ?????? ?? ???? ??? ???? ?? ??? ???? ????? ???????? ???? ?? ???? ???,??????? ??? ???? ??? ???? ?? ??? ???? ??? ??? ?????? ?? ???-???? ?????? ???? ????? ????? ???
????? ?? ????? ??? ????? ?? ??? ???? ?? ????? ??? ????? ?? ??????? ???? ????? ? ???? ???,"????? ?? ??????? ??? ????? ?? ?????, ????? ??? ???? ?? ????? ????? ???? ?? ???? ???",????? ?? ????? ??? ????? ?? ??? ???? ?? ????? ??? ????? ?? ??????? ???? ????? ? ???? ???
??????? ?? ???? ?? ????? ?? ??????? ?????? ??? ?????? ?? ????? ????????? ???,??????? ?? ???? ??? ????? ??? ?? ??????? ??????? ?????? ??? ?????? ?? ????? ???? ?????? ???,??????? ?? ???? ?? ????? ?? ??????? ?????? ??? ?????? ?? ????? ????????? ???
???? ?? ????? ???? ???-??? ????? ?? ????? ??? ????? ?? ?????? ?????? ???? ?? ???? ???,????? ?? ?????? ?????? ????? ?? ???? ?? ????? ???? ????? ????? ?? ????? ???? ?? ???? ???,???? ?? ????? ???? ???-??? ????? ?? ????? ??? ????? ?? ?????? ?????? ???? ?? ???? ???
??? ???? ??????? ?? ????? ??? ????? ?? ??????? ???? ????? ? ???? ???,????? ?? ??????? ?????? ?? ??? ???? ??????? ??????? ???,??? ???? ??????? ?? ????? ??? ????? ?? ??????? ???? ????? ? ???? ???
????? ?? ???? ???? ????? ??? ?? ?????? ??????? ??? ???? ?? ????? ?? ??? ????? ??? ???,????? ?? ???? ?????? ?? ??????? ??? ???? ?? ????? ?? ??? ????? ????? ???,????? ?? ???? ???? ????? ??? ?? ?????? ??????? ??? ???? ?? ????? ?? ??? ????? ??? ???
??????? ?? ????? ???? ???????? ??? ??????? ?? ????? ??? ?????? ?? ??????? ?????? ????? ???? ???,??????? ?? ????? ???? ???????? ??? ??????? ?? ????? ?? ?? ??? ???,??????? ?? ????? ???? ???????? ??? ??????? ?? ????? ??? ?????? ?? ??????? ?????? ????? ???? ???
????? ?? ??????? ???? ????? ??? ?? ????? ?? ???? ??? ?????? ????????? ????? ???,????? ?? ??????? ???? ????? ??? ?? ????? ?? ???? ??? ?????? ????? ???? ?? ???? ???,????? ?? ??????? ???? ????? ??? ?? ????? ?? ???? ??? ?????? ????????? ????? ???
???? ?? ??? ??????? ??? ????? ?? ??????? ???? ????? ???? ?? ???? ???,????? ?? ??????? ?????? ?? ???? ?? ??? ??????? ????? ???? ?? ???? ???,???? ?? ??? ??????? ??? ????? ?? ??????? ???? ????? ???? ?? ???? ???
??????? ??? ????? ???? ?????? ??? ????? ??? ??? ?????? ?? ???? ????? ????? ???,v??????? ?? ???? ??? ????? ??? ?? ????? ???? ?????? ??? ????? ????? ???????? ???? ?? ???? ???,??????? ??? ????? ???? ?????? ??? ????? ??? ??? ?????? ?? ???? ????? ????? ???
????? ???? ?????? ?? ??? ????? ??? ????? ?? ?????? ?????? ???? ?? ???? ???,????? ?? ?????? ?????? ????? ?? ????? ???? ?????? ?? ??? ????? ????? ???????? ???? ?? ???? ???,????? ???? ?????? ?? ??? ????? ??? ????? ?? ?????? ?????? ???? ?? ???? ???
????? ?? ??? ??????? ?? ???? ?? ?????? ????? ????????? ???,????? ?? ??? ??????? ??? ????? ????? ?? ???? ?? ?????? ????? ????? ???????? ???? ?? ???? ???,????? ?? ??? ??????? ?? ???? ?? ?????? ????? ????????? ???
??????? ?? ???????? ?? ?????? ?? ???? ????? ??? ???? ?? ??????? ?? ??? ???,??????? ???? ???????? ?? ?????? ?? ???? ????? ??? ???? ?? ??????? ??? ????? ??????? ?? ???? ???,??????? ?? ???????? ?? ?????? ?? ???? ????? ??? ???? ?? ??????? ?? ??? ???
???????? ???? ??? ??????? ?? ????? ??? ?????? ?????? ??????? ?? ???? ???,???????? ???? ?????? ?????? ?????? ?? ??????? ??????? ???? ?? ?????? ???,???????? ???? ??? ??????? ?? ????? ??? ?????? ?????? ??????? ?? ???? ???
???? ???? ???? ???? ??????? ??? ?????? ??? ????? ?? ???? ???? ????? ?? ???? ???,???? ???? ??????? ?????? ??? ????? ?? ???? ???? ????? ????? ? ???? ???,???? ???? ???? ???? ??????? ??? ?????? ??? ????? ?? ???? ???? ????? ?? ???? ???
????? ?? ?????? ???????? ??? ???? ?? ????? ?????? ?? ???? ???,???? ?? ????? ?????? ?? ????? ?? ???????? ????? ???? ?? ???? ???,????? ?? ?????? ???????? ??? ???? ?? ????? ?????? ?? ???? ???
???? ?? ??? ??????? ??? ????? ?? ??????? ???? ???? ???? ?? ???? ???,????? ?? ??????? ????? ?? ???? ?? ??? ??????? ???? ????? ??? ????? ???,???? ?? ??? ??????? ??? ????? ?? ??????? ???? ???? ???? ?? ???? ???
???? ?? ??????? ??? ????? ?? ?????? ????? ??? ????? ????? ?? ???? ???,????? ?? ?????? ????? ?? ???? ?? ??????? ??? ????? ??????? ?? ???? ???,???? ?? ??????? ??? ????? ?? ?????? ????? ??? ????? ????? ?? ???? ???
???? ???? ??????? ?? ????? ??? ????? ?? ???? ?? ??? ?? ???? ???,???? ???? ??????? ?? ????? ?? ????? ????? ??? ?????? ?? ???? ???,???? ???? ??????? ?? ????? ??? ????? ?? ???? ?? ??? ?? ???? ???
???????? ???? ????? ????? ??? ???? ???? ????? ????????? ????? ???,???????? ???? ????? ????? ?? ????? ???? ????? ?? ???? ???,???????? ???? ????? ????? ??? ???? ???? ????? ????????? ????? ???
????? ???? ?????? ?? ????? ??? ?????? ??? ?? ??? ???? ??????? ?? ??? ???,????? ???? ?????? ?? ????? ??? ?????? ??? ?? ??????? ???? ??????? ?????? ?? ?????? ???,????? ???? ?????? ?? ????? ??? ?????? ??? ?? ??? ???? ??????? ?? ??? ???
????? ???? ????? ????? ?? ???????? ???? ????? ????? ?? ????? ??? ???,????? ???? ????? ?? ???????? ???? ????? ????? ?? ????? ????? ???? ?? ???? ???,????? ???? ????? ????? ?? ???????? ???? ????? ????? ?? ????? ??? ???
???? ???? ?????? ?????? ?? ????? ??? ?????? ???? ???? ?? ???? ???,?????? ?????? ?? ????? ??? ???? ???? ????? ?????? ???? ???? ?? ???? ???,"???? ???? ?????? ?????? ?? ????? ??? ?????? ???? ???? ?? ???? ??, ?????? ?? ???? ???????? ?? ????? ??? ???? ??? ???? ??????? ???"
